model,test_n,accuracy,precision,recall,f1,f1_ci_low,f1_ci_high,tp,fn,fp,tn,liar_acc,liar_f1,liar_n,fakenewsnet_acc,fakenewsnet_f1,fakenewsnet_n
baseline_tfidf,1295,0.6015,0.5468,0.5812,0.5635,0.5314,0.5976,333,240,276,446,0.5986,0.5583,1273,0.7727,0.8,22
rnn,1295,0.5629,0.504,0.7731,0.6102,0.5806,0.6378,443,130,436,286,0.5632,0.6079,1273,0.5455,0.7059,22
lstm,1295,0.6232,0.5665,0.6318,0.5974,0.5635,0.6289,362,211,277,445,0.6245,0.5956,1273,0.5455,0.6667,22
transformer,1295,0.6425,0.5945,0.6038,0.5991,0.5643,0.631,346,227,236,486,0.6371,0.5919,1273,0.9545,0.9565,22
